author,title,pages,proc:editor,proc:title
"['Hoo-Min D. Toong', 'Svein O. Strommen', 'Earl R. Goodrich II', 'John F. Buford', 'Tarek K. Abdel-Hamid', 'J.-F. Mergen']",Parallel Processing Capabilities of Advanced 16-Bit Microprocessors.,130-141,,"Distributed Processing: New Directions for a New Decade. ACM Pacific '80, San Francisco, CA, November 12-14, 1980"
"['Wei C. Yen', 'King-sun Fu']",Performance Analysis on Multiprocessor Memory Organization.,142-153,,"Distributed Processing: New Directions for a New Decade. ACM Pacific '80, San Francisco, CA, November 12-14, 1980"
"['James E. Donnelley', 'John G. Fletcher']",Resource Access Control in a Network Operating System.,115-126,,"Distributed Processing: New Directions for a New Decade. ACM Pacific '80, San Francisco, CA, November 12-14, 1980"
"['Jean Tague', 'Michael J. Nelson', 'Harry Wu']",Problems in the Simulation of Bibliographic Retrieval Systems.,236-255,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Matthew B. Koll'],Information Retrieval Theory and Design Based on a Model of the User's Concept Relations.,77-93,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Carole D. Hafner'],Representation of Knowledge in a Legal Information Retrieval System.,139-153,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['Roger C. Schank', 'Janet L. Kolodner', 'Gerald DeJong']",Conceptual Information Retrieval.,94-116,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Abraham Bookstein'],A Comparison of Two Weighting Schemes for Boolean Retrieval.,23-34,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['D. R. McGregor', 'J. R. Malone']",The Fact Database: A System Based on Inferential Methods.,203-217,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['Terry Noreault', 'Michael McGill', 'Matthew B. Koll']","A Performance Evaluation of Similarity Measures, Document Term Weighting Schemes and Representations in a Boolean Environment.",57-76,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Chris D. Paice'],The Automatic Generation of Literature Abstracts: An Approach Based on the Identification of Self-Indicating Phrases.,172-191,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['R. M. Lea', 'Ernst J. Schuegraf']",An Associative File Store Using Fragments for Run-Time Indexing and Compression.,280-295,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Christine A. Montgomery'],Where Do We Go From Here?,370-385,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['Christopher Landauer', 'Clinton Mah']",Message Extraction Through Estimation of Relevance.,117-138,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['Stephen E. Robertson', 'C. J. van Rijsbergen', 'Martin F. Porter']",Probabilistic Models of Indexing and Searching.,35-56,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['Peter Kracsony', 'Gerald J. Kowalski', 'Arnold Meltzer']",Comparative Analysis of Hardware Versus Software Text Search.,268-279,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Hans-Jörg Schek'],Methods for the Administration of Textual Data in Database Systems.,218-235,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['Peter Bollmann', 'Vladimir S. Cherniavsky']",Measurement-Theoretical Investigation of the MZ-Metric.,256-267,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Lynette Hirschman'],Retrieving Time Information From Natural-Language Texts.,154-171,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Linda C. Smith'],'Memex' As an Image of Potentiality in Information Retrieval Research and Development.,345-369,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['Gerard Salton', 'Harry Wu']",A Term Weighting Model Based on Utility Theory.,9-22,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Amar Mukhopadhyay'],A Backend Machine Architecture for Information Retrieval.,296-309,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
"['Andrew J. Palay', 'Mark S. Fox']",Browsing Through Databases.,310-324,"['Robert N. Oddy', 'Stephen E. Robertson', 'C. J. van Rijsbergen', 'P. W. Williams']","Information Retrieval Research, Proc. Joint ACM/BCS Symposium in Information Storage and Retrieval, Cambridge, June 1980"
['Henk M. Blanken'],Automatic Generation of Storage Structures for a DBTG Data Base System.,99-118,,
['S. A. Borkin'],The Semantic Relation Data Model: Foundation for a User Interface.,47-64,,
"['Wolfgang Effelsberg', 'Theo Härder', 'Andreas Reuter 0001']",Measurement and Evaluation of Techniques for Implementing Cosets - A Case Study.,135-159,,
['Donald D. Chamberlin'],A Summary of user Experience with the SQL Data Sublanguage.,181-203,,
"['Mary E. S. Loomis', 'Frank W. Allen']",Paging Behaviour and Performance Optimization in a Codasyl DBMS.,119-134,,
['Witold Litwin'],Linear Hashing: A new Algorithm for Files and Tables Addressing.,260-276,,
['Charles W. Bachman'],The Role Data Model Approach to Data Structures.,1-18,,
"['Patricia G. Selinger', 'Michel E. Adiba']",Access Path Selection in Distributed Database Management Systems.,204-215,,
"['Giorgio Ausiello', 'Carlo Batini', 'Marina Moscarini']",On the Equivalence among Data Base Schemata.,34-46,,
"['Stefano Ceri', 'Giancarlo Martella', 'Giuseppe Pelagatti']",Optimal File Allocation for a Distributed Data Base on a Network of Minicomputers.,216-237,,
['Tore Risch'],A Fexible and External Data Dictionary System for Program Generation.,19-33,,
"['S. Jones', 'P. J. Mason']",Handling the Time Dimension in a Data Base.,65-83,,
"['Matti Jakobsson', 'Jukka Teuhola']",A Constructive Approach to Logical Data Base Design.,160-178,,
['C. Fraboul'],Robust Mechanisms for Maintaining a Redundant Distributed Data Base.,238-249,,
"['Christos H. Papadimitriou', 'Jon Louis Bentley']",A Worst-Case Analysis of Nearest Neighbor Searching by Projection.,470-482,"['J. W. de Bakker', 'Jan van Leeuwen']","Automata, Languages and Programming, 7th Colloquium, Noordweijkerhout, The Netherland, July 14-18, 1980, Proceedings"
['Paul M. B. Vitányi'],On the Power of Real-Time Machines Under Varying Specifications (Extended Abstract).,658-671,"['J. W. de Bakker', 'Jan van Leeuwen']","Automata, Languages and Programming, 7th Colloquium, Noordweijkerhout, The Netherland, July 14-18, 1980, Proceedings"
['Martin Fürer'],The Complexity of the Inequivalence Problem for Regular Expressions with Intersection.,234-245,"['J. W. de Bakker', 'Jan van Leeuwen']","Automata, Languages and Programming, 7th Colloquium, Noordweijkerhout, The Netherland, July 14-18, 1980, Proceedings"
['Johann A. Makowsky'],Measuring the Expressive Power of Dynamic Logics: An Application of Abstract Model Theory.,409-421,"['J. W. de Bakker', 'Jan van Leeuwen']","Automata, Languages and Programming, 7th Colloquium, Noordweijkerhout, The Netherland, July 14-18, 1980, Proceedings"
