author,count
Hans-Jörg Kreowski,8
Hartmut Ehrig,6
Gérard Le Lann,6
Richard J. Lipton,6
Jaime G. Carbonell,5
Gary G. Hendrix,5
Jeffrey D. Ullman,5
Kenneth J. Thurber,5
Manfred Broy,5
Martin Wirsing,5
John Mylopoulos,5
Robert Piloty,5
Thomas P. Barnwell III,5
L. Peter Deutsch,5
Dennis McLeod,5
Lawrence A. Rowe,5
King-sun Fu,4
Michel E. Adiba,4
Giorgio Ausiello,4
Christos H. Papadimitriou,4
Jon Louis Bentley,4
Peter Padawitz,4
James W. Thatcher,4
David Harel,4
Butler W. Lampson,4
Richard W. Watson,4
Derick Wood,4
Joachim Griese,4
Jacek Leszczylowski,4
Michael L. Brodie,4
David A. Plaisted,4
William Buxton,4
Richard A. DeMillo,4
Paul Decitre,4
Dines Bjørner,4
Mario Barbacci,4
Dominique Borrione,4
Donald L. Dietmeyer,4
Fredrick J. Hill,4
Patrick Skelly,4
Miroslaw Malek,4
John Makhoul,4
Martin Morf,4
Nasir Ahmed 0001,4
Lawrence R. Rabiner,4
Ketil Bo,4
G. Jack Lipovski,4
Ira P. Goldstein,4
Brian Ford,4
R. G. G. Cattell,4
Gia Toan Nguyen,3
Andreas Reuter 0001,3
Witold Litwin,3
Carlo Batini,3
Greg N. Frederickson,3
Kari-Jouko Räihä,3
Esko Ukkonen,3
Peter Raulefs,3
Egidio Astesiano,3
Gerardo Costa,3
Philippe Flajolet,3
Eric G. Manning,3
Norman I. Badler,3
Frederic I. Parke,3
Christopher F. Herot,3
Ernst G. Schlechtendahl,3
Philip J. Hayes,3
Adrian Walker,3
Peter Honeyman,3
Ashok K. Chandra,3
Neil D. Jones,3
Bernd Mahr,3
Yat-Sang Kwong,3
Rod M. Burstall,3
Georg Winterstein,3
Hartmut Wedekind,3
Peter Dadam,3
Hans Keutgen,3
Georges Gardarin,3
Nathan Goodman,3
Rudolf Munz,3
Philip A. Bernstein,3
Daniel J. Rosenkrantz,3
Harry B. Hunt III,3
Michael Hammer,3
Ross A. Overbeek,3
David R. Musser,3
Barry L. Wills,3
Sanand Patel,3
William T. Reeves,3
Ronald Baecker,3
Richard M. Karp,3
Robert Endre Tarjan,3
F. Frances Yao,3
Rohit Parikh,3
John H. Reif,3
H. T. Kung,3
Bertrand Meyer,3
Shi-Kuo Chang,3
Benn R. Konsynski,3
Sidhartha Maitra,3
Yves Grenier,3
Aaron E. Rosenberg,3
Heinrich C. Mayr,3
Klaus-Peter Löhr,3
Michael L. Green,3
Ming T. Liu,3
Carl Hewitt,3
Daniel G. Bobrow,3
Claus-Peter Matt,3
Rein Turn,3
Anthony I. Wasserman,3
Sigram Schindler,3
Stephen J. Hague,3
Nobuji Saito,3
Amir Pnueli,3
Rajan N. Kapur,3
Walter E. Ulrich,3
Robert Balzer,3
Patrick J. Hayes,3
Mary Shaw,3
Stephen N. Zilles,3
Charles Rich,3
Jonathan J. King,3
Barry C. Goldstein,2
Harold Lorin,2
Hoo-Min D. Toong,2
Svein O. Strommen,2
Earl R. Goodrich II,2
Douglas Stott Parker Jr.,2
Elaine Lisboa,2
Harry Wu,2
Matthew B. Koll,2
