author,title,pages,proc:editor,proc:title
['Flaviu Cristian'],On the Specification of Behavioural Constraints.,115-117,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Lawrence A. Rowe'],Issues in the Design of Database Programming Languages.,180-182,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Robert Balzer'],What Should Be Modelled? (discussion).,40-42,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['John Mylopoulos'],An Overview of Knowledge Representation.,5-12,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Michael L. Brodie'],Data Abstraction for Designing Database-Intensive Applications.,101-103,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Heinrich C. Mayr'],Make More of Data Types.,158-160,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Randy H. Katz'],Heterogeneous Databases and High Level Abstraction.,135-137,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['Edgar H. Sibley'],Database Management Systems Past and Present.,192,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
['John Mylopoulos'],Tutorial on Artificial Intelligence Research.,13-18,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Patrick J. Hayes', 'Gary G. Hendrix']",A Logical View of Types.,128-130,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['Lawrence A. Rowe', 'L. Peter Deutsch', 'Mary Shaw', 'James W. Thatcher', 'Heinrich C. Mayr', 'Stephen N. Zilles', 'Patrick J. Hayes']",Types (discussion).,43-52,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
"['John Miles Smith', 'Charles Rich', 'Jonathan J. King', 'Peter Hitchcock', 'Alexander Borgida', 'Jaime G. Carbonell']",Consistency of Models (discussion).,72-76,"['Michael L. Brodie', 'Stephen N. Zilles']","Proceedings of the Workshop on Data Abstraction, Databases and Conceptual Modelling, Pingree Park, Colorado, June 23-26, 1980"
